key,instantiationMoment,startDisplay,endDisplay,picture,slogan,link
banner-01,2020/06/24 00:00,2020/06/25 00:00,2020/07/25 00:00,https://i.imgur.com/8nLFCVP.png,Sad Pepe,https://tenor.com/es/search/sad-pepe-gifs
banner-02,2001/06/24 00:00,2020/06/25 00:00,2020/07/25 00:00,https://i.imgur.com/8nLFCVP.png,Sad Pepe,https://tenor.com/es/search/sad-pepe-gifs
banner-03,2001/06/24 01:00,2020/06/25 00:00,2020/07/25 00:00,https://i.imgur.com/8nLFCVP.png,Sad Pepe,https://tenor.com/es/search/sad-pepe-gifs
banner-04,2022/07/23 23:59,2020/06/25 00:00,2020/07/25 00:00,https://i.imgur.com/8nLFCVP.png,Sad Pepe,https://tenor.com/es/search/sad-pepe-gifs
banner-05,2022/07/23 23:58,2020/06/25 00:00,2020/07/25 00:00,https://i.imgur.com/8nLFCVP.png,Sad Pepe,https://tenor.com/es/search/sad-pepe-gifs
banner-06,2012/06/24 00:00,2020/06/25 00:00,2020/07/25 00:00,https://i.imgur.com/8nLFCVP.png,Sad Pepe,https://tenor.com/es/search/sad-pepe-gifs
banner-07,2020/06/24 00:00,2022/07/29 23:59,2022/08/29 23:59,https://i.imgur.com/8nLFCVP.png,Sad Pepe,https://example.com
banner-08,2020/06/24 00:00,2022/07/29 23:58,2022/08/29 23:59,https://i.imgur.com/8nLFCVP.png,Sad Pepe,https://example.com
banner-09,2020/06/24 00:00,2020/07/30 00:00,2020/09/25 00:00,https://i.imgur.com/8nLFCVP.png,Sad Pepe,https://example.com
banner-10,2020/06/24 00:00,2020/07/30 00:01,2020/09/25 00:00,https://i.imgur.com/8nLFCVP.png,Sad Pepe,https://example.com
banner-11,2020/06/24 00:00,2030/07/30 00:00,2030/09/25 00:00,https://i.imgur.com/8nLFCVP.png,Sad Pepe,https://example.com
banner-12,2020/06/24 00:00,2020/06/25 00:00,2020/07/25 00:00,https://aksljdlaksjdlkajflaksjdlkajsfklsjalskgja___kfjlaskjglas_flksaklasf.com,Nada estoy probando nada mas,https://example.com
banner-13,2020/06/24 00:00,2020/06/25 00:00,2020/07/25 00:00,https://かわいい犬.com,Sad Pepe?,https://example.com
banner-14,2020/06/24 00:00,2020/06/25 00:00,2020/07/25 00:00,https://cute_dog.com.com,Sad Pepe?,https://example.com
banner-15,2020/06/24 00:00,2020/06/25 00:00,2020/07/25 00:00,https://cute_dog.com,Sad Pepe Que Esta llorando porque esta muy triste el pobre y no sabe naaaaa,https://example.com
banner-16,2020/06/24 00:00,2020/06/25 00:00,2020/07/25 00:00,https://cute_dog.com,Sad Pepe Que Esta llorando porque esta muy triste el pobre y no sabe naaaa,https://example.com
banner-17,2020/06/24 00:00,2020/06/25 00:00,2020/07/25 00:00,https://cute_dog.com,A,https://example.com
banner-18,2020/06/24 00:00,2020/06/25 00:00,2020/07/25 00:00,https://cute_dog.com,AA,https://example.com
banner-19,2020/06/24 00:00,2020/06/25 00:00,2020/07/25 00:00,https://cute_dog.com,かメントスにノーる人うと言えはいないでしょ,https://elTextoAnteriorEstaEnChino.com
banner-20,2020/06/24 00:00,2020/06/25 00:00,2020/07/25 00:00,https://i.imgur.com/8nLFCVP.png,Sad Pepe,https://tenor.com/es/search/sad-pepe-gifs
banner-21,2020/06/24 00:00,2020/06/25 00:00,2020/07/25 00:00,https://i.imgur.com/8nLFCVP.png,Sad Pepe,https://esteLinkEsDemasiadoExtensoPorqueTieneMuchisimosCaracteres.com
banner-22,2020/06/24 00:00,2020/06/25 00:00,2020/07/25 00:00,https://i.imgur.com/8nLFCVP.png,Sad Pepe,https://リンク面白.com
banner-23,2020/06/24 00:00,2020/06/25 00:00,2020/07/25 00:00,https://i.imgur.com/8nLFCVP.png,Sad Pepe,https://k.com
banner-24,2000/01/01 00:00,2022/06/30 00:00,2022/08/01 00:00,https://i.imgur.com/bKQlVSm.jpeg,Profesor porfa no me suspendas,https://www.ionos.com/
banner-25,2000/01/01 00:01,2022/06/30 00:00,2022/08/01 00:00,https://i.imgur.com/WPnLzek.jpeg,Profesor porfa no me suspendas,https://www.office.com/
banner-26,2020/07/30 00:00,2022/06/30 00:00,2022/08/01 00:00,https://i.imgur.com/e3Ja6Jn.jpeg,Profesor porfa no me suspendas,https://tinder.com/
