key,code,execution-date,type,corrective-actions,mark,link,draftMode,key:project,key:auditor
code-audit-01,A-000,0001/01/01 00:00,Static,a,A_PLUS,http:,false,project-01,auditor-01
code-audit-02,AAA-000,0001/01/01 00:01,Dynamic,Fix security vulnerabilities,A,http://auditReportXYZ.com,true,project-01,auditor-01
code-audit-03,AAA-001,2021/05/10 18:00,Static,Optimize code performance,B,http://auditPQR-789.com,false,project-01,auditor-01
code-audit-04,MNO-321,2021/08/05 10:15,Dynamic,Address code maintainability issues,null,http://exampleMNO-321.com,true,project-02,auditor-01
code-audit-05,DEF-654,2021/11/30 08:30,Static,Enhance code readability,null,http://auditReportDEF-654.com,false,project-01,auditor-01
code-audit-06,GHI-987,2022/03/25 16:45,Dynamic,Resolve code duplication,null,http://auditGHI-987.com,false,project-01,auditor-02
code-audit-07,JKL-210,2022/06/15 12:00,Static,Update coding standards compliance,C,http://auditJKL-210.com,false,project-01,auditor-02
code-audit-08,Z-999,2012/09/08 09:20,Dynamic,Implement error handling improvements,A,http://auditRST-543.com,true,project-01,auditor-02
code-audit-09,ZZZ-998,2022/07/29 23:59,Static,Datatest text with a hundred characters with the aim of testing the imposed restriction to the field,F,http://auditWXY-876.com,false,project-01,auditor-02
code-audit-10,ZZZ-999,2022/07/30 00:00,Dynamic,改进代码,F_MINUS,http://auditLMN-098.com,false,project-01,auditor-02
